# E_nu E_X E_l Pl_x Pl_y Pl_z vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
10000 5000 10000 0 10000 0 0 -10000 0 1862.78 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 1974.75 1000 1875.93 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2520.31 2000 379.391 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 2695.41 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 2049.33 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 2581.41 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 1379.68 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 1748.2 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 2559.21 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 2225.04 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2296.95 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 2808.29 1000 3022.08 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2575.47 2000 482.98 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 2420.67 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 1747.51 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 871.216 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 1664.21 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 2320.97 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 1365.69 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 2498.61 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2276.75 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 2639.2 1000 3805.05 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 1851.32 2000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 2287.57 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 1207.64 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 2034.44 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 589.146 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 1617.9 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 2510.18 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 2246.98 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 1976.73 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 2108.92 1000 4170.79 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 1874.89 2000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 3430.04 3000 336.924 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 3222.79 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 2115.98 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 2446.73 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 452.09 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 3679.86 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 3123.8 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2112.66 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 2597.23 1000 2389.91 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2359.46 2000 257.705 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 3224.6 3000 142.515 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 2498.55 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 1458.23 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 2939.07 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 3265.46 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 2209.04 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 2018.87 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2606.5 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 2864.78 1000 2622.24 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 1538.5 2000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 1869.19 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 2185.58 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 3779.15 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 2018.23 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 2707.67 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 2398.84 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 2816.19 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 3350.57 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 1620.75 1000 483.587 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2666.42 2000 548.947 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 2093.32 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 2824.89 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 2251.04 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 2243.06 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 2908.18 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 2576.6 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 2240.4 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2603.07 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 1596.98 1000 3051.96 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 3181.43 2000 1418.88 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 2141.5 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 2032.5 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 3409.94 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 2812.21 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 3849.57 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 1896.72 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 2609.1 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 3067.41 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 1909.69 1000 953.547 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2495.11 2000 436.859 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 2628.63 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 1482.46 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 2955.62 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 1972 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 1875.87 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 3079.01 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 1806.8 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2326.2 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 2766.38 1000 3733.81 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 2293.12 2000 229.999 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 3108.58 3000 61.7367 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 2805.24 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 2063.3 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 2877.55 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 987.718 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 3551.88 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 3142.64 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2430.52 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 1733.14 1000 2736.24 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 1401.07 2000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 3228.53 3000 150.159 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 3063.24 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 1466.27 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 2749.5 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 917.532 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 3029.29 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 2197.28 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2265.87 10000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -1000 0 2714.39 1000 3290.04 3e-09
10000 5000 10000 0 10000 0 0 -2000 0 1365.95 2000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -3000 0 1552.49 3000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -4000 0 1952.75 4000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -5000 0 2069.88 5000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -6000 0 2784.24 6000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -7000 0 2540.29 7000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -8000 0 2536.07 8000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -9000 0 3067.65 9000 0.105658 3e-09
10000 5000 10000 0 10000 0 0 -10000 0 2342.81 10000 0.105658 3e-09
